trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-156.86330406062444,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,6,-7.916407864964076,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-62.32042153072588,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-119.60357437881501,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-104.39645185268257,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-123.79620025085819,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-55.102680581275315,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-49.992275096523024,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-217.0254835786576,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,0.5108708807860054,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-33.16025263868113,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,20,-3.7294964196139615,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,16,6.666544701386343,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,6.738152454567348,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-115.75047597836934,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-86.12009161737498,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,12.624021402831012,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,7.163298546677168,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,15,-59.416108501912134,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,12.158892402209608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",30,5,-21.951407377295485,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",25,10,-15.069483754020045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",30,4,1.9070321906812802,"{0: 23, 1: 2, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",30,0,35.949171334304246,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",20,7,-32.03297130672422,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,11,18.202096525784416,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.55011476568059,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,4,-29.257653403191842,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.653949027736015,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.87699650388064,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,12,11.666421016573542,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,18.807279170215814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,2,-102.20261784596158,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,10.251559689063717,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,18,12.359372084523201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
