trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-99.59923155892203,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-81.05097927131436,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-108.00528727671528,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-142.61858084904625,"{0: 14, 1: 7, 2: 5, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-40.39861181906142,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-98.69961422981464,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-140.31103569854966,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,2,-71.827157591535,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-68.87791792162679,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-102.83592783410172,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-93.31773942035927,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,0,-141.05984437637727,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-143.0550116721302,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-78.35769654469944,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-113.86276897728999,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-80.28573136676637,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-89.35963757583501,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-88.75572086486027,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-178.35410802419196,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-46.7509059415142,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,13,-82.82943858099732,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",30,0,-127.16170579598499,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",30,10,-20.196489282665404,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-105.406549640926,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",35,0,-230.03922785743347,"{0: 20, 1: 3, 2: 5, 3: 5, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-122.30523730200936,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,0,-111.26962665210726,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",25,12,-47.74714951816661,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-34.88058670939519,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-104.96315823974061,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,6,-49.179935312666736,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-29.473406297788014,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,0,-97.50827178390435,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-67.21699443424927,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-71.21148370394019,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,10,-22.066424429240612,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-45.89912483109672,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-159.39551113630415,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-218.1992099456487,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-21.602728233167127,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,9,-62.45083676379668,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-25.919500363085323,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
