trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-19,-194.30100272310628,"{0: 26, 1: 1, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-78,-493.20749325014947,"{0: 63, 1: 14, 2: 14, 3: 5, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-77,-916.1154107769576,"{0: 56, 1: 9, 2: 15, 3: 4, 4: 18}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-32,-402.3807532443234,"{0: 32, 1: 5, 2: 12, 3: 1, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-1,-26.81105540324427,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,12,2.1185237502131384,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-699.3209941724681,"{0: 69, 1: 17, 2: 25, 3: 5, 4: 9}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-808.6798597049337,"{0: 68, 1: 14, 2: 26, 3: 6, 4: 11}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-691.212480868309,"{0: 67, 1: 14, 2: 23, 3: 8, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-542.3802012348202,"{0: 70, 1: 12, 2: 27, 3: 6, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-628.0278121422564,"{0: 73, 1: 15, 2: 22, 3: 8, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,-34,-161.96179188170862,"{0: 44, 1: 7, 2: 11, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-76,-527.6316876169993,"{0: 54, 1: 7, 2: 21, 3: 10, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-589.5757808361534,"{0: 68, 1: 15, 2: 25, 3: 6, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-583.7681462121672,"{0: 74, 1: 10, 2: 24, 3: 4, 4: 8}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-17,-248.2852925485395,"{0: 22, 1: 6, 2: 9, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-37,-301.1947335319685,"{0: 30, 1: 10, 2: 12, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,-13.059597508454857,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-631.7000859871096,"{0: 78, 1: 13, 2: 20, 3: 4, 4: 10}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-16.253585160389914,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-632.3453897206673,"{0: 63, 1: 23, 2: 21, 3: 6, 4: 7}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-58,-272.9491617418202,"{0: 52, 1: 10, 2: 10, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-100,-586.7307187771065,"{0: 75, 1: 17, 2: 20, 3: 5, 4: 8}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-769.7386115574064,"{0: 60, 1: 18, 2: 27, 3: 5, 4: 10}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-638.6078419342015,"{0: 67, 1: 19, 2: 27, 3: 6, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-13,-304.28077773394426,"{0: 25, 1: 4, 2: 8, 3: 0, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-60,-411.2620221481396,"{0: 50, 1: 14, 2: 13, 3: 2, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-656.6808804398139,"{0: 65, 1: 14, 2: 28, 3: 6, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-86,-456.87347821220663,"{0: 63, 1: 14, 2: 21, 3: 3, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,13,-6.095784573667283,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
